"package_version","license","used_in","publisher","repository"
"simple-swizzle@0.2.2","MIT","backend","Qix","https://github.com/qix-/node-simple-swizzle"
"slate-dom@0.112.2","MIT","dashboard","","https://github.com/ianstormtaylor/slate"
"slate-history@0.110.3","MIT","dashboard","","https://github.com/ianstormtaylor/slate"
"slate-react@0.112.0","MIT","dashboard","","https://github.com/ianstormtaylor/slate"
"slate@0.112.0","MIT","dashboard","","https://github.com/ianstormtaylor/slate"
"smart-buffer@4.2.0","MIT","backend;extension","Josh Glazebrook","https://github.com/JoshGlazebrook/smart-buffer"
"socket.io-adapter@2.5.6","MIT","backend","","https://github.com/socketio/socket.io"
"socket.io-client@4.8.3","MIT","dashboard","","https://github.com/socketio/socket.io"
"socket.io-parser@4.2.5","MIT","backend;dashboard","","https://github.com/socketio/socket.io"
"socket.io@4.8.3","MIT","backend","","https://github.com/socketio/socket.io"
"socks-proxy-agent@8.0.5","MIT","backend;extension","Nathan Rajlich","https://github.com/TooTallNate/proxy-agents"
"socks@2.8.4","MIT","backend;extension","Josh Glazebrook","https://github.com/JoshGlazebrook/socks"
"source-map@0.5.7","BSD-3-Clause","dashboard;extension","Nick Fitzgerald","https://github.com/mozilla/source-map"
"source-map@0.6.1","BSD-3-Clause","backend;extension","Nick Fitzgerald","https://github.com/mozilla/source-map"
"sprintf-js@1.1.3","BSD-3-Clause","backend;extension","Alexandru Mărășteanu","https://github.com/alexei/sprintf.js"
"sqlstring@2.3.1","MIT","backend;extension","","https://github.com/mysqljs/sqlstring"
"sqlstring@2.3.3","MIT","backend","","https://github.com/mysqljs/sqlstring"
"statuses@2.0.1","MIT","backend","","https://github.com/jshttp/statuses"
"storage@0.2.0","MIT","extension","Jon Schlinkert","https://github.com/jonschlinkert/storage"
"streamsearch@1.1.0","MIT","backend","Brian White","https://github.com/mscdex/streamsearch"
"streamx@2.22.0","MIT","backend;extension","Mathias Buus","https://github.com/mafintosh/streamx"
"string_decoder@1.1.1","MIT","backend;extension","","https://github.com/nodejs/string_decoder"
"string-width@4.2.3","MIT","backend;extension","Sindre Sorhus","https://github.com/sindresorhus/string-width"
"strip-ansi@6.0.1","MIT","backend;extension","Sindre Sorhus","https://github.com/chalk/strip-ansi"
"strip-json-comments@2.0.1","MIT","extension","Sindre Sorhus","https://github.com/sindresorhus/strip-json-comments"
"stylis@4.2.0","MIT","dashboard;extension","Sultan Tarimo","https://github.com/thysultan/stylis.js"
"supports-color@5.5.0","MIT","dashboard","Sindre Sorhus","https://github.com/chalk/supports-color"
"supports-preserve-symlinks-flag@1.0.0","MIT","dashboard;extension","Jordan Harband","https://github.com/inspect-js/node-supports-preserve-symlinks-flag"
"symbol-tree@3.2.4","MIT","backend","Joris van der Wel","https://github.com/jsdom/js-symbol-tree"
"tar-fs@2.1.2","MIT","extension","Mathias Buus","https://github.com/mafintosh/tar-fs"
"tar-fs@3.0.8","MIT","backend;extension","Mathias Buus","https://github.com/mafintosh/tar-fs"
"tar-stream@2.2.0","MIT","extension","Mathias Buus","https://github.com/mafintosh/tar-stream"
"tar-stream@3.1.7","MIT","backend;extension","Mathias Buus","https://github.com/mafintosh/tar-stream"
"tar@6.2.1","ISC","backend","GitHub Inc.","https://github.com/isaacs/node-tar"
"text-decoder@1.2.3","Apache-2.0","backend;extension","Holepunch","https://github.com/holepunchto/text-decoder"
"tiktoken@1.0.21","MIT","backend","","https://github.com/dqbd/tiktoken"
"tiny-invariant@1.3.1","MIT","dashboard","Alex Reardon","https://github.com/alexreardon/tiny-invariant"
